"path","kind","bytes","sha256","lines","scope"
"C:\Users\Junior\.bun\install\cache\playwright-core@1.62.1@@@1\lib\tools\skills\playwright-component-testing\SKILL.md","SKILL.md","10027","77BC6F8D1DE57AC8F8996AE860C1CFC446F18F48E78CC643B43389E5A97D5C66","144","vendor-source"
"C:\Users\Junior\.bun\install\cache\playwright-core@1.62.1@@@1\lib\tools\skills\playwright-trace\SKILL.md","SKILL.md","4712","DF85506BFA8A445C961EFA1AC244CCA733667B717711BCC99C1F93994C29D5DC","172","vendor-source"
"C:\Users\Junior\.bun\install\cache\recharts@3.8.0@@@1\AGENTS.md","AGENTS.md","1257","544B6D37EFA470B0B6A9D70006696149D75E35C66159E83F475D2ADB3AC03171","27","vendor-source"
"C:\Users\Junior\.bun\install\cache\recharts@3.8.1@@@1\AGENTS.md","AGENTS.md","1257","544B6D37EFA470B0B6A9D70006696149D75E35C66159E83F475D2ADB3AC03171","27","vendor-source"
"C:\Users\Junior\.bun\install\cache\ultracite@7.10.7@@@1\skills\ultracite\SKILL.md","SKILL.md","6134","7D4A938FABB8D5860FF87BB9A59E1F82D9A439C95CD1EBD8D4BCE038ED414188","125","vendor-source"
"C:\Users\Junior\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\browser\skills\control-in-app-browser\SKILL.md","SKILL.md","12906","B115AC6D7EB3E74D3A8650105851A2C4C8DBA72F268E34F71300DA7EB28C448E","158","vendor-source"
"C:\Users\Junior\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\chrome\skills\control-chrome\SKILL.md","SKILL.md","12784","CDB6DA4F346033427AA8544CFDE60DEB5444F48B1DF0ACDC1E62B3F9970F08A6","158","vendor-source"
"C:\Users\Junior\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\computer-use\skills\computer-use\SKILL.md","SKILL.md","1497","8211E4B11A19A0DC4F0ACE91096C74C5B36037CA4CB2C8988F0F535BB209E951","30","vendor-source"
"C:\Users\Junior\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\latex\skills\latex-compile\SKILL.md","SKILL.md","1554","BF5E3837BD494EDDA28D512F653CB5097687AA12D061EA3C16115B56F5B9D1A1","37","vendor-source"
"C:\Users\Junior\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\latex\skills\latex-doctor\SKILL.md","SKILL.md","1262","F9146D54A36E4FE3262E7A6368C289DA985B64D63BD36D6B662D92AF87C6E8A6","39","vendor-source"
"C:\Users\Junior\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\latex\skills\texlive-runtime-installer\SKILL.md","SKILL.md","1489","82E904DF125642FC2272E1105D74450D6E9CF74E5945B73DACE56BAB0986B7D0","47","vendor-source"
